accuracy,kappa,latency_us,pool_memory_kb,active_memory_kb,final_pool_size,mean_active_size,drift_count,stream,method,seed,wall_time_s
0.8119537388540655,0.6052902035642559,129.99875913517906,366.73828125,366.73828125,2,2.199115044247788,65.0,Electricity,DSPP-Lite,7,19.376280784606934
0.8528834057955021,0.6964698976332511,278.84009322058995,1080.44140625,1013.34375,4,2.4557522123893807,39.0,Electricity,DSPP-Adaptive,7,51.65979051589966
0.8035576350113659,0.5872319111873836,200.06707218837136,6698.154296875,1917.57421875,6,2.0,0.0,Electricity,StaticSPP-Lite,7,32.26405358314514
0.856436626867648,0.7040591884083097,293.91381161819766,1339.9580078125,821.791015625,6,2.0,0.0,Electricity,StaticSPP-Adaptive,7,59.67962646484375
0.8078612257509215,0.5981059454198262,199.4001143619627,6696.927734375,1917.9375,6,2.336283185840708,0.0,Electricity,StaticSPPFullSearch-Lite,7,32.41124701499939
0.8538324027278145,0.6983262707122,310.57034478660665,1339.3349609375,1013.76953125,6,2.4557522123893807,0.0,Electricity,StaticSPPFullSearch-Adaptive,7,61.31269836425781
0.8251417977974443,0.6354377167138721,227.9001252632859,929.0068359375,929.0068359375,10,10.0,,Electricity,OB,7,44.703938484191895
0.8965593343779656,0.787500435922838,272.42699624689646,6014.4794921875,6014.4794921875,10,10.0,,Electricity,LB,7,154.2079882621765
0.8857893226810267,0.7653626094884657,230.9428187257239,12741.8701171875,12741.8701171875,10,10.0,,Electricity,ARF,7,73.59736442565918
0.8905784467347885,0.7748610093657233,263.1350723412341,6293.0537109375,6293.0537109375,10,10.0,,Electricity,SRP,7,170.24573302268982
0.8025380710659898,0.58552249114378,130.35783682011848,336.32421875,336.32421875,2,2.168141592920354,59.0,Electricity,DSPP-Lite,8,17.417462587356567
0.8573856237999603,0.706348153850459,293.43020221854016,968.7841796875,294.4599609375,5,2.424778761061947,33.0,Electricity,DSPP-Adaptive,8,57.15100574493408
0.804109377413873,0.5876437117984759,198.73331236558465,6968.9892578125,2343.80859375,6,2.0,0.0,Electricity,StaticSPP-Lite,8,32.21857261657715
0.8609829842643066,0.7141024292680879,289.82574163549657,1285.2412109375,294.7314453125,6,2.0,0.0,Electricity,StaticSPP-Adaptive,8,59.55817914009094
0.8036017744035665,0.5879879332717749,199.6851310218782,6969.3671875,2343.9814453125,6,2.31858407079646,0.0,Electricity,StaticSPPFullSearch-Lite,8,32.08304190635681
0.8584008298205734,0.7086383681670665,303.7180076346324,1285.6123046875,295.0673828125,6,2.398230088495575,0.0,Electricity,StaticSPPFullSearch-Adaptive,8,60.07430505752564
0.8260907947297566,0.6384633135019151,229.13760032843928,1049.3291015625,1049.3291015625,10,10.0,,Electricity,OB,8,44.368114709854126
0.8973759131336762,0.7892832073401239,279.3268413226929,4642.6923828125,4642.6923828125,10,10.0,,Electricity,LB,8,156.1067018508911
0.8845313500033104,0.7629679856258107,227.94101955330424,9454.6142578125,9454.6142578125,10,10.0,,Electricity,ARF,8,72.51489543914795
0.8868045287016397,0.7671231637188624,262.557035973416,6664.3251953125,6664.3251953125,10,10.0,,Electricity,SRP,8,165.2665514945984
0.8018361987155437,0.5828088637649814,131.93984993000012,1339.8046875,1339.8046875,2,2.168141592920354,62.0,Electricity,DSPP-Lite,9,18.30680632591248
0.8585994570854759,0.7083494114123835,304.40177690546085,1317.962890625,674.2578125,6,2.504424778761062,33.0,Electricity,DSPP-Adaptive,9,59.2486252784729
0.8015051532740394,0.5820327779066147,201.1523949274518,6422.1962890625,2099.5263671875,6,2.0,0.0,Electricity,StaticSPP-Lite,9,32.15452814102173
0.8606077994306018,0.712785815868977,288.6662441744182,1317.833984375,419.2861328125,6,2.0,0.0,Electricity,StaticSPP-Adaptive,9,58.44827008247376
0.8039990289333716,0.5886890932147987,201.80435032655748,6423.251953125,3195.9580078125,6,2.398230088495575,0.0,Electricity,StaticSPPFullSearch-Lite,9,31.93900489807129
0.8585994570854759,0.7083494114123835,299.8504345670909,1318.052734375,674.666015625,6,2.504424778761062,0.0,Electricity,StaticSPPFullSearch-Adaptive,9,58.56613826751709
